StartDate,EndDate,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q25,Q3,Q5,Q7,Q8,Q10,Q11,Q13,Q14,Q16,Q17,Q18,Q20,Q23,Q22,Q24,Q26
Start Date,End Date,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"First, how do you define environmental stewardship?",Can someone be a steward by refraining from interacting with a target resource or ecosystem?,Please expand on your answer.,Can someone be a steward if they are not motivated by care for the environment?,Please expand on your answer.,Can someone be an environmental steward without having the agency to act within a particular ecosystem?,Please expand on your answer.,Does environmental stewardship consist of taking action or of generating specific outcomes?,Please expand on your answer.,Can someone be an environmental steward without identifying as one?,Does identifying as an environmental steward automatically make a person a steward?,Please expand on your answers.,"Can one be a steward of an organism/taxon, an ecosystem, or both?",Please expand on your answer.,"Can groups or organizations act as stewards, or is it strictly an individual trait?",Please expand on your answer.,"When asked to define environmental stewardship at the beginning of the survey, you wrote:

[QID25-ChoiceTextEntryValue]

Now that you've taken this survey, has your definition of environmental stewardship changed in any way? If so, how?"
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID25_TEXT""}","{""ImportId"":""QID3""}","{""ImportId"":""QID5_TEXT""}","{""ImportId"":""QID7""}","{""ImportId"":""QID8_TEXT""}","{""ImportId"":""QID10""}","{""ImportId"":""QID11_TEXT""}","{""ImportId"":""QID13""}","{""ImportId"":""QID14_TEXT""}","{""ImportId"":""QID16""}","{""ImportId"":""QID17""}","{""ImportId"":""QID18_TEXT""}","{""ImportId"":""QID20""}","{""ImportId"":""QID23_TEXT""}","{""ImportId"":""QID22""}","{""ImportId"":""QID24_TEXT""}","{""ImportId"":""QID26_TEXT""}"
4/1/24 13:44,4/2/24 7:22,100,63466,TRUE,4/2/24 7:22,R_7hHjcEE7AcsbKyG,,26.1844,-81.4152,email,EN,Use of nature based on sustainable practices with an orientation toward human and ecological wellbeing.,Yes,"Stewardship can involve non-use, e.g., closed areas that are designated to support some defined conservation end. However, such actions should be applied within a framework of broader participation in a particular place and with associated place-based knowledge and care. The urban resident may be facilitating local stewardship by their absence but is not a steward in the proper sense of active care.",Yes,"The virtuous person, i.e., the person whose character is oriented to the common good, should be capable of acting in the best interests of a social-ecological system for which they do not possess feelings of care. In fact, care without virtue is more likely to go astray than virtue without care, because stewardship requires good practice and good practice requires knowledge and skills which are constituents of virtue. ",No,"First, I don't think that Shephard et al. (2023) argue against the care, knowledge and agency. The paper states that ""Angler commitment to sustainable management is embedded in self-interested ownership."" In other words, agency among anglers and other local user groups is imparted more or less according to the Ostrom principles, e.g., boundaries, limited access, ability to sanction cheats etc.

Agency is a high bar, because to be fully realized, it requires knowledge and skills (so you know what to do and how), as well as internal empowerment (virtuous locals who act for the common good) and external empowerment (a supportive legislative framework). Lacking any of these components can impair or prevent good stewardship.

",I don't have enough information to answer this question,"Somewhere in the middle! Stewardship is based on 'sustainable practices'. It often requires wise decisions based on the best available insight and experience. This situation maximizes the likelihood of conservation success but does not preclude failure.

It depends on what ""environmentally conscious"" means. Someone who cares deeply but acts without knowledge or skill may be less likely to succeed than the person who acts from a position of virtue but with more emotional objectivity.",Yes,No,"This depends a bit on your personal or communal anthropology, or perception of human-nonhuman relationships. Some Indigenous stewardship seems to be highly relational or participatory, without even the implicit dualism that is required to 'take responsibility' for aspects of a natural system. In this case, maybe the label is not important or is subsumed into a broader sense of belonging (or something...). In western systems, stewardship may be a little more conscious, even though it may remain deeply embedded. Here, the label may be supportive of stewardship via personal and communal identity.

Identifying as an environmental steward does NOT automatically make a person a steward. Stewardship is primarily about practice, not identity.",Both,"Stewardship is oriented to the common good, i.e., flourishing of humans and biodiversity. Single-species management can lead to actions and outcomes that are harmful to ecosystem health, but this does not constitute stewardship.

The virtuous actor, who is formed within a challenging and mentored outdoor community of practice, e.g., a hunting system, should be able to invoke appropriate social-ecological knowledge and operate at a holistic management scale that transcends their self-interest e.g., catching large fish, and supports higher-level outcomes.",Individuals and groups,"Nice question. 'Society' can be defined as (something like) a group of individuals who collaborate to attain ends that cannot be achieved by the individual. These ends constitute the common good. In this way, and consistent with the idea of subsidiarity, stewardship may operate at the lowest level that will achieve the desired outcome, which may be individual but is highly likely to be a small group. Certain stewardship outcomes may require cooperation at levels up to the nation state or beyond.

At the grassroots, environmental virtue and individual stewardship are likely to emerge through mentored learning in a community of practice. The community introduces both knowledge and skills, as well as normative expectations about appropriate outdoor behavior. This process reveals the importance of the collective. However, virtue (character) is an individual trait, meaning that it is a group of well-formed individuals that act.","um, not really, but I have spent a lot of time eliciting my perspective, and so it is probably unusually stable."
4/10/24 7:34,4/10/24 8:38,100,3835,TRUE,4/10/24 8:38,R_4903LJrwVZFfcjR,,41.4231,2.188,email,EN,"Environmental stewardship is a specific set of behaviors perform by individuals to maintain or increase the quality of the environment that is sustaining their human-nature interactions (e.g., fishing).
",Yes,"Refrain from interacting with the target resource or ecosystem can be transitory. For example, a recreational fisher can decide to not fishing at all during a specific period when a target species may be specifically vulnerable due to, for example, spawning. Similarly, a recreational spearfisher can decide not spearing a target species when individuals are too vulnerable (e.g., not-mobile in a crevice such as groupers). 


",Yes,"I believe this type of actions can ""only"" be considered within the realm of stewardship when there is a strategy behind it from a higher level. 
For example, an agency that foster the swith of commercial fishers from fishing to renting their boats to tourists. 

If the action is solely determined by personal interest it should be considered within the realm of stewardship. ",Yes,"I believe this is the purest for of environmental stewardship.

Consider this commentary we published:
Sbragaglia, V., and R. Arlinghaus. 2020. Conservation bottom-up initiatives in marine recreational spearfishing suggest the emergence of positive attitudes towards conservation. Scientia Marina 84:441-444.

We documented that in In 1997 a pioneering Italian spearfisher from Sardinia created the Italian Association of Spearfishing (IAS) with the aim of representing all recreational fishers who were not interested in sports spearfishing and were therefore not members of the national sports fishing association. After five years of activity, the IAS had over 3000 members from 89 different Italian provinces and launched a pioneering project for that time: Sea Sentinels. The main goal of the project was to provide support to research in monitoring fish assemblages, tracking biological invasions and restoring the environment from pollution such as plastic debris. In other words, this association realized the value of citizen science and local ecological knowledge and the problem of plastic marine pollution back in 2002 without any feedback from local or national agencies. 

","Anyone who takes an environmentally conscious action is acting as a steward, regardless of the outcome of that action","I believe the same could happen with any other character of our society (politicians, researchers...)

Does we stop to call a politician ""politician"" if his/her actions/policies do not have a positive outcome?

Stewards are motivated by the same values, some they must be call all ""stewards"". The difference should be made at the moment to evaluate their effective outcome.

For example, ""ineffective stewardship"", ""nagative stewardship""?",I don't have enough information to answer this question,I don't have enough information to answer this question,,Both,"If we use the example of recreational fishers, it is clear that stewardhsip actionc can be develop at both levels (e.g. stop fishing a species during spawning season OR mitigate plastic pollution at the ecosystem level).",Individuals and groups,,"I would modify it as follows:

Environmental stewardship is a specific set of behaviors perform by individuals or groups of individuals with the intention to maintain or increase the quality of the resource or environment that is sustaining their human-nature interactions (e.g., fishing)"
4/9/24 7:15,4/16/24 2:38,100,588135,TRUE,4/16/24 2:38,R_7IaZ6czXM3iB3PF,,55.7704,12.5038,email,EN,citizens who voluntarely engage in nature conservation activities with the aim to improve local environmental conditions,No,"I see the point, but I lean towards that stewardship implies involvements in actions that aim to improve conditions. 

You could also argue that refraining from interaction with a target resource/ecosystem under pressure is simply common sense :-)",No,In my head care for the environment is the main motivation for stewardship.,Yes,,"Anyone who takes an environmentally conscious action is acting as a steward, regardless of the outcome of that action","it is a tricky one. But if the intentions are to take positive actionfor the environment (but lack of knowledge result in wrong actions), then I would consider the person a steward.",Yes,No,,Both,"This is a logic consequence of my answer to a previous question, i.e. if a person can be a steward even when the actions are potentially harmful.",Individuals and groups,,Citizens or groups of citizens who voluntarely engage in nature sonservation activities with the aim to improve local environmental conditions on species or ecosystem level
5/3/24 7:42,5/3/24 7:58,100,996,TRUE,5/3/24 7:58,R_4LXQC9gwpNiNQg1,,52.5521,13.4103,email,EN,Environmental stewardship is defined as a personal belief and norm that is characterized by strongly developed feelings of personal care and competencies as well as the willigness to act pro-ecologically or support actions by others that have such intentions.,Yes,"In my definition of stewardship it is all about caring and acting pro-ecologically. This can, but must not be a concrete place, and if it is a concrete place, not interfering with it personally can be a stewardship action if it is motivated pro-ecologically in the first place.",No,"In my definition of stewardship, care (and perhaps knowledge) to action is fundamental. So ""coincidential stewardship"" does not exist despite the action perhaps contributing to conservation. In my conceptualization care and personal motivation must be involved for the action to be called stewardship.",Yes,"Stewardship action can of course be be indirect, e.g., supporting political parties or other actors to act locally even if a person or group itself has no agency to act.","Anyone who takes an environmentally conscious action is acting as a steward, regardless of the outcome of that action","I am convinced that good intention is key, not the outcome, especially also because outcomes and whether they are just pro-ecologically are value-driven, can change over time and be hard to assessed. For example, not so long ago bringing new species into a system was seen as a good thing to ""enrich"" the communities, now it is seen as something negative by conservationists. But in former times, engaging in such actions clearly was stewardship. Good intention is key, not outcomes per se, but of course ideally they go hand in hand. Science and monitoring is needed to measure outcomes and this can be used to ""educate"" well intented motivations.",Yes,No,"Personal identification is not key, but stewardship can be assigned to you based on what you do. Then stewardship still exists although you are not aware of it. 

In many cases self-identification is equivalent to stewardship. And of course self-motivated action is key and before I said that outcomes do not matter. But there can be the case one is well aware that certain actions (e.g., releasing non native fishes) are bad or can be bad, but one hides this under supposedely ecological motivation, reinforced by branding oneself as steward. Therefore, self-identification is not per se a characteristics of stewardship because there can be the case that one purposely does things for self-interest and not pro-ecologically, hidden under the umbrella terms ""care and agency for nature"".",Both,"As long as the behaviour is pro-ecologically, the biological level does not matter. ",Individuals and groups,"Groups are always collectives of individuals, often those sharing the same interests and values. Similar to values, which is often believed to be an individual trait, also organizations can carry values. The same holds for stewardship. Think of a recreational fishing club or another environmental NGO. Yet, collectives can trump individual motivation to act and do different things than individuals want to do.","No, it is the same."
5/6/24 12:25,5/6/24 12:42,100,1041,TRUE,5/6/24 12:42,R_7enx0iENis95ysg,,29.7013,-82.3097,email,EN,I would define it as the act of caring for or managing the environment. I'd say it includes someone feeling personally responsible for the state of the environment (ascription of personal responsibility). ,Yes,"I would still see this as actively caring for a system. The person is taking the action of refraining from interacting, which is still active stewardship in my view. ",No,"I would say they are conducting stewardship actions, but are not themselves stewards. To me, being a steward includes that feeling of personal responsibility. ",Yes,"I would say they are stewards, they are just currently unable to act upon it at the given moment. ","Anyone who takes an environmentally conscious action is acting as a steward, regardless of the outcome of that action","I feel they can be trying to act as a steward, even if the actions they are taking are not necessarily those that result in the best outcomes by general conservation standards. ",Yes,No,"To me stewardship is about both the motivation and the action (or intention to act). I think if one is motivated to care for a resource and acts in ways that care for it, they are a steward regardless of whether they self-identify as one. If one identifies as a steward but does not take responsibility to care for the resource, they are not one. ",Both,One can be a steward of either to me. ,Individuals and groups,,"It has not. Though to be fair, it's possible that thinking through and outlining my own definition at the start anchored me to this perspective for the subsequent questions. It's possible I may have defined it differently if I had gone through the questions first. "
5/14/24 9:19,5/14/24 11:13,100,6831,TRUE,5/14/24 11:13,R_3UqBwAcls8eumfn,,52.5128,13.4151,gl,EN,Morals and values of people or groups that are beneficial to the natural environment with which those individuals or collectives affiliate. ,No,"Refraining from interaction can be seen as a passive rather than active action towards reducing negative impacts to biodiversity. The absence of action could be viewed as simply avoiding harm rather than contributing positively to the health of an ecosystem. 

Furthermore, traditional views of stewardship often emphasise active management and engagement with the environment. This includes activities like habitat restoration, species monitoring, and sustainable resource use. From this perspective, stewardship is inherently active, involving direct intervention to achieve nature conservation goals. 

I think that stewardship is about forming a relationship with the environment, understanding its needs, and working to maintain or enhance its health. This relational aspect could be seen as lacking when the approach is purely non-interactional. 

However, considering arguments for inaction to be a form of stewardship, the care-knowledge-agency framework suggests that stewardship is driven by care for the environment, knowledge of ecological systems, and the agency to act. Having agency over ones actions and decided to refrain from any action can be considered a form of action in itself. If refraining from interaction is based on a deep understanding and care for the environment, recognising that one's interaction could cause harm, it can be argued that this choice embodies the principles of stewardship. However, I think that this viewpoint could more easily fall within the umbrella term of impact avoidance or mitigation rather than environmental stewardship. 

Ultimately, the decision might come down to the specific context and the ecological outcomes of non-interaction. But I think I would lean more towards saying that inaction is not environmental stewardship. ",No,"I tend to think that if a person's pro-environmental actions are not motivated by genuine care for the environment, but rather by self-interest or other motives, that they do not qualify as a steward. As highlighted above, virtue ethics can support this argument as actions motivated purely by self-interest, even if beneficial to the environment, do not reflect the virtuous character required for true stewardship. They might be considered pro-environmental or conservation-orientated action, but I don't think it qualifies as environmental stewardship. 

In saying this, I also see merit in arguing for net benefit to the environment and society, regardless of personal motives. This view leans more towards a utilitarian perspective than deontological or virtue ethics. Given the complexity of human motivations and the diverse interpretations of stewardship, it might be useful to adopt a more inclusive and pragmatic approach that recognises the value of various motivations in achieving conservation goals. 

Ultimately, I think it beneficial to refine the definition of environmental stewardship as it can be extremely broad in its interpretation and when this is the case it can lose a lot of meaning. ",Yes,"I tend to lean towards the stance that stewardship can be seen as a moral stance or a set of values rather than just a set of actions. Members of disempowered communities can still consider themselves stewards if they maintain their knowledge, care for the environment, and a desire to protect it, even if their ability to act is constrained. This perspective aligns with the view that stewardship is partly about maintaining an ethical stance and a commitment to environmental values.

Furthermore, the ethical dimension of stewardship emphasises the intent and ethical orientation of individuals or communities. Even when agency is restricted, the moral responsibility and commitment to stewardship remain intact. This view suggests that stewardship is also about bearing witness to environmental change and advocating for the environment, even in the face of disempowerment.","Anyone who takes an environmentally conscious action is acting as a steward, regardless of the outcome of that action","Stewardship often reflects an individual's or community's commitment to caring for the environment, which is manifested through deliberate actions. This perspective emphasises the importance of the intention behind actions and the ongoing commitment to environmental value. Thus, environmental stewardship can be seen as a process that includes learning and adaptation. From this perspective, engaging in stewardship practices, even if initially ineffective, provides opportunities for learning and improving over time. The iterative nature of stewardship actions can lead to better outcomes in the long term as stewards gain experience and knowledge. 

However, I think the question as it is asked is quite broad. I don't necessarily completely agree with the statement that anyone who take an environmentally conscious action is acting as a steward, regardless of the outcome of that action, as inaction could fall into this category. But if the action is supported through identity and values of environmental care, than yes. . ",Yes,No,"Effective environmental stewardship does not necessarily require explicit self-identification as a steward. Individuals and groups can engage in knowledgeable, environmentally responsible behaviours driven by intrinsic values and concerns, leading to positive environmental outcomes. 

Identifying as an environmental steward does not automatically make a person a steward. While self-identification can enhance motivation and encourage pro-environmental behaviours, true stewardship requires concrete motivation and a moral stance that can result in positive environmental outcomes. Effective stewardship is a dynamic process that integrates moral stance with ongoing learning, critical self-evaluation, and adaptive management to ensure that actions align with environmental goals.",Both,"I think that stewardship can encompass both the management of individual organisms or taxa and entire ecosystems. While species-specific stewardship can have significant positive impacts and engage individuals in nature conservation practices, it must be integrated into a broader ecosystem management framework to ensure holistic and sustainable outcomes. Effective stewardship requires a balance between focused actions and comprehensive ecosystem considerations, supported by adaptive management and learning.",Individuals and groups,"I think that both individuals and organisations can embody environmental stewardship, but the mechanisms through which they operate and the scale at which they can effect change vary. Organisation can still embody the morals and ethics associated with stewardship as a collection of people. Organisations represent the collective wisdom, expertise, and resources of many individuals. This collective capacity can drive more effective and informed stewardship actions. However, care must be taken when considering group or collective environmental stewardship as not all organisations or groups of people inherently align with stewardship values, and individual's views within a collective might not align with other members in the group/organisation. 

Overall, I believe that stewardship can be assigned to both individuals and organisations or groups. Organisations have the capacity to manage resources at scale, leveraging collective knowledge, resources, and authority. However, individual stewards bring personal commitment, flexibility, and localised knowledge to their actions. The most effective environmental stewardship should integrate the strengths of both individual and collective efforts, fostering collaboration and alignment between personal values and institutional goals.","Somewhat, in that this survey highlighted to me just how complex and multifaceted the term stewardship can be. Overall, I think stewardship could benefit from a tighter definition as there other terms that could be used for instances that some might want to associate with stewardship but that might not fit under a tighter definition. "
5/14/24 13:08,5/14/24 15:27,100,8335,TRUE,5/14/24 15:27,R_83aPUivVihTw94l,,52.5521,13.4103,gl,EN,Environmental stewardship is the dedication of humans to protect their natural environment and keep it in a healthy state. It originates from the deep belief that natural species or whole ecosystems are valuable and manifests itself in actions that maintain these species or systems.,Yes,"Yes, someone can be a steward by refraining from directly interacting with a target resource or ecosystem, but only when they continue to care about the system, keep their knowledge about the system updated and start to take actions to protect the system when it is getting endangered.",No,"No, as a pro-environmental behavior that is not motivated by care for the environment but by pure self-interest is highly unstable. As soon as another behavior with negative outcomes for the environment provides a higher benefit for the individual, the pro-environmental behavior is given up. However, the term ""care"" should be defined as well to answer this question precisely. Care means not only the conservation perspective on the intrinsic value of an ecosystem, but includes also the perspective of resource users that consider a natural resource as highly valuable and want to use it sustainably to maintain it also for the following generations.",No,"No, environmental stewards should at least have the opportunity to take actions that indirectly benefit the natural resource or ecosystem, for example, by creating political pressure towards more sustainable resource use in a certain ecosystem they care about. ",Only someone whose actions have positive environmental outcomes can be considered to be an environmental steward,"Although I would consider environmental stewardship ultimately as the combination of care and action of positive outcome for the natural environment, I want to highlight that people caring about their natural environment and just taking the 'wrong' actions due to a lack of knowledge have a high potential to become environmental stewards. This potential can be addressed in the management of ecosystems by working together with those people, informing them and empower them to take the 'right' actions that really help the environment.  ",Yes,No,"Yes, someone can be an environmental steward without identifying as one. Maybe they are even the 'better' environmental stewards as they really put the natural environment at first priority by deeply caring about it and don't focus on themselves. It can be linked to the idea of religion. For example, do strictly religious people like Christians show always a high willingness to engage in charity and love of neighbor when they consider themselves as good Christians that have to justify their actions mainly in front of god? Or can non-religious people reach the same willingness to engage in charity and love of neighbor when purely motivated by caring for other people?",Both,"I think that persons can be stewards of both, an entire ecosystem and an individual species naturally occurring in that ecosystem. The necessary condition to be an environmental steward when relating to an individual species is that the taken actions benefiting the focal species at least do not endanger other naturally occurring species in that ecosystem.",Individuals and groups,"Individuals and also groups can act as stewards. However, individuals within groups may lack a key component of stewardship - being the care for the ecosystem - as they may have solely social or economic reasons to engage in the group. Groups may lose their stewardship when actions end in itself and are not based on caring about the system anymore. Therefore, I would relate stewardship more to individuals where the link between care and actions is clear, but to answer the question: Yes, there can be also groups that act as stewards.","The survey definitely broadened my view on the topic. However, I did not come up with a better definition yet. I see a potential to improve it by expressing explicitly what 'valuable' means (e.g. intrinsic value of nature combined with extrinsic value of it for resource users). Furthermore, 'natural species or whole ecosystems' sounds very broad. A person cannot take actions in every ecosystem but only where it is connected to or working at.

So probably like this:
Environmental stewardship is the dedication of humans to protect their natural environment and keep it in a healthy state. It originates from the deep belief that a natural species or entire ecosystem is valuable and manifests itself in actions that maintain this species or system.

"
5/13/24 11:46,5/15/24 5:21,100,149712,TRUE,5/15/24 5:21,R_5xERLFSf5qA7bQR,,53.0552,8.7455,gl,EN,"Environmental stewardship is the sustainable management and care of the natural environment through practices, measures and conservation efforts. It involves actions aiming to preserve, protect, and enhance ecosystems and biodiversity and should consider current and future human needs.",No,"I don't think that such a person can be called a steward, because the same outcome could be achieved with a simple prohibition on entering the example area. As a consequence, stewardship is not necessary. If someone were to initiate such an entry ban, it would be active stewardship from my perspective, whereas simple non-intervention as a form of passive management does not fall within my personal definition of stewardship. Additionally, passive management indirectly leads to a situation where each person protects all ecosystems that they are currently not visiting. This can theoretically lead to a high level of convenience and provide seemingly convincing arguments for personal involvement without actually being active in the sense of stewardship.",Yes,"Yes, because the outcome is what counts, and people are much more willing to engage in stewardship if they benefit personally. From my perspective, an individual's motivation and ethics for participating in stewardship actions is less important than actions and outcome. I believe that stewardship will be particularly successful if both people (stewards) and the environment benefit similarly.",Yes,"It is true that the efficacy of stewardship increases with the power to act, but stewardship often begins with small steps. By being successful in these small tasks, power increases, and eventually, stewardship may gain or regain the power to turn actions.","Anyone who takes an environmentally conscious action is acting as a steward, regardless of the outcome of that action","First, the definition of positive environmental outcomes can vary greatly between individuals and stakeholders. Members of a fishing club might view the shooting of cormorants as stewardship with a positive environmental outcome, whereas some environmental NGOs may have a contrary view.

Second, stewardship actions may fail, especially when new approaches are tested. If stewardship were only validated by positive environmental outcomes, innovative approaches to environmental management would be used less often.",Yes,No,"As mentioned earlier, from my perspective, actions and outcomes are more important than motivation and identification. Identification is very important but does not automatically make someone a steward (see question one).",Both,"My initial definition of environmental stewardship inherently includes both aspects. Conflicting views on measures and outcomes will always exist, and the level of engagement is irrelevant; often, any action at any level of the ecosystem will impact other levels.",Individuals and groups,"Groups can act as stewards as long as actions and outcomes are measurable at a relevant scale. For example, an angler association might act as a steward by organizing habitat improvements in many rivers within the same region, while local angling clubs may implement these measures. Similarly, a global NGO could act as a steward for climate protection on a global scale, which is the only relevant scale in this case.","No, it hasn't changed, but it has stimulated me to think."
